movie,review
beats_rhymes_and_life_the_travels_of_a_tribe_called_quest,"  ""focusing not only on the music but also on the personal relationships between members, this is a documentary that will appeal not only to fans of the band.  ""I submerge myself in ATCQ albums, inject the samples in my veins and wonder in those realms for days...  ""Awesome documentary about one of the greatest groups in Hip Hop history... Must see for any true Hip Hop fan...  ""Solid  documentary. Like a lot of other documentaries, it starts strong then progressively fades."
cedar_rapids_2010,"  ""So very corny, don""t understand this Rotten Tomatoes rating.... Decent to watch in the background though I guess  ""Nice slow paced comedy with terrific performances."
the_ides_of_march," Great political film--not the best ever, but certainly a fun watch.  ""I was waiting for a better end.\nSame old story.....  ""Not as good as other political-drama flicks, but not so bad overall  ""You know what""s going to happen, but the acting makes it delicious to watch."
rise_of_the_planet_of_the_apes,"  ""This movie was really really slow and boring. And it didnt make any sense.  ""It is nice to see newer sci-fi movies.  ""MERECIA O OSCAR DE MELHOR FILME"
1209933-puss_in_boots,"  ""It""s funny, it""s entertaining, it""s brilliant.  ""I watched this all of the time when I was a little kid.  ""A great spin off of Shrek"
super_8,"  ""Better the first time I saw it... when it was called E.T.  ""Adoro esse filme, sem mas."
tinker_tailor_soldier_spy,"  ""It""s very disjointed. You really have to watch the BBC series with Sir Alec. This is the definition of Smiley.  ""Slow, with too many characters who I didn""t care about."
armadillo_2010,"  ""Frighteningly immersive, and startlingly different from a US equivalent. Powerful and significant.  ""I Don""t Like Documentary Films.  ""Much more combat focused than Restrepo. Not as much character development as I would""ve liked, but excellent nonetheless."
beginners,"  ""An entertaining film about some Angelenos."
meeks_cutoff,"  ""Was pretty good until the ending. It basically doesn’t have one.   ""The was ok at best. The problem is the ending is really bad.  ""Beautifully filmed, acted etc but 1/10 for storyline."
terri_2011,"  ""Just didn’t feel anything while watching this. Too long   ""Smart, mysterious and real emotions   ""This was such a depressing movie with totally unsympathetic characters, Terri himself was selfish and cruel."
